Judge,URL,Slug,Born,Confirmed,Court,Died,Education,President,Service Terminated
"Tait, Charles",https://www.fjc.gov/history/judges/tait-charles,history/judges/tait-charles,['1768'],"['May 13, 1820']",['U.S. District Court for the District of Alabama'],['1835'],"['Read law, 1795']",['James Monroe'],"['reassignment.Judge, U.S. District Court for the Northern District of AlabamaReassigned on March 10, 1824, to a new seat authorized by 4 Stat. 9. Service terminated on February 1, 1826, due to resignation.Judge, U.S. District Court for the Southern District of AlabamaReassigned on March 10, 1824, to a new seat authorized by 4 Stat. 9. Service terminated on February 1, 1826, due to resignation']"
"Crawford, William",https://www.fjc.gov/history/judges/crawford-william,history/judges/crawford-william,['1784'],"['May 22, 1826', 'May 22, 1826']",['U.S. District Court for the Northern District of Alabama'],['1849'],['Read lawHampden-Sydney College'],"['John Quincy', 'John Quincy']","['death.Judge, U.S. District Court for the Southern District of AlabamaNominated by John Quincy Adams on May 5, 1826, to a seat vacated by Charles Tait. Confirmed by the Senate on May 22, 1826, and received commission on May 22, 1826. Service terminated on February 28, 1849, due to death.Judge, U.S. District Court for the Middle District of AlabamaAssigned on February 6, 1839, to a new seat authorized by 5 Stat. 315. Service terminated on February 28, 1849, due to death']"
"Gayle, John",https://www.fjc.gov/history/judges/gayle-john,history/judges/gayle-john,['1792'],"['March 13, 1849', 'March 13, 1849', 'March 13, 1849']",['U.S. District Court for the Middle District of Alabama'],['1859'],"['South Carolina College (now University of South Carolina), 1813Read law, 1818']","['Zachary Taylor', 'Zachary Taylor', 'Zachary Taylor']","['death.Judge, U.S. District Court for the Northern District of AlabamaNominated by Zachary Taylor on March 12, 1849, to a seat vacated by William Crawford. Confirmed by the Senate on March 13, 1849, and received commission on March 13, 1849. Service terminated on July 21, 1859, due to death.Judge, U.S. District Court for the Southern District of AlabamaNominated by Zachary Taylor on March 12, 1849, to a seat vacated by William Crawford. Confirmed by the Senate on March 13, 1849, and received commission on March 13, 1849. Service terminated on July 21, 1859, due to death']"
"Jones, William Giles",https://www.fjc.gov/history/judges/jones-william-giles,history/judges/jones-william-giles,['1808'],"['January 30, 1860', 'January 30, 1860', 'January 30, 1860']",[],['1883'],"['Hampden-Sydney CollegeUniversity of VirginiaRead law, 1830']",[],"['resignation.Judge, U.S. District Court for the Northern District of AlabamaReceived a recess appointment from James Buchanan on September 29, 1859, to a seat vacated by John Gayle; nominated to the same position by James Buchanan on January 23, 1860. Confirmed by the Senate on January 30, 1860, and received commission on January 30, 1860. Service terminated on January 12, 1861, due to resignation.Judge, U.S. District Court for the Southern District of AlabamaReceived a recess appointment from James Buchanan on September 29, 1859, to a seat vacated by John Gayle; nominated to the same position by James Buchanan on January 23, 1860. Confirmed by the Senate on January 30, 1860, and received commission on January 30, 1860. Service terminated on January 12, 1861, due to resignation']"
"Lane, George Washington",https://www.fjc.gov/history/judges/lane-george-washington,history/judges/lane-george-washington,['1806'],"['March 28, 1861', 'March 28, 1861', 'March 28, 1861']",['U.S. District Court for the Middle District of Alabama'],['1863'],['Read law'],"['Abraham Lincoln', 'Abraham Lincoln', 'Abraham Lincoln']","['death.Judge, U.S. District Court for the Northern District of AlabamaNominated by Abraham Lincoln on March 26, 1861, to a seat vacated by William G. Jones. Confirmed by the Senate on March 28, 1861, and received commission on March 28, 1861. Service terminated on November 12, 1863, due to death.Judge, U.S. District Court for the Southern District of AlabamaNominated by Abraham Lincoln on March 26, 1861, to a seat vacated by William G. Jones. Confirmed by the Senate on March 28, 1861, and received commission on March 28, 1861. Service terminated on November 12, 1863, due to death']"
"Busteed, Richard",https://www.fjc.gov/history/judges/busteed-richard,history/judges/busteed-richard,['1822'],"['January 20, 1864', 'January 20, 1864', 'January 20, 1864']",[],['1898'],"['Read law, 1846']",[],"['resignation.Judge, U.S. District Court for the Northern District of AlabamaReceived a recess appointment from Abraham Lincoln on November 17, 1863, to a seat vacated by George W. Lane; nominated to the same position by Abraham Lincoln on January 5, 1864. Confirmed by the Senate on January 20, 1864, and received commission on January 20, 1864. Service terminated on October 20, 1874, due to resignation.Judge, U.S. District Court for the Southern District of AlabamaReceived a recess appointment from Abraham Lincoln on November 17, 1863, to a seat vacated by George W. Lane; nominated to the same position by Abraham Lincoln on January 5, 1864. Confirmed by the Senate on January 20, 1864, and received commission on January 20, 1864. Service terminated on October 20, 1874, due to resignation']"
"Bruce, John",https://www.fjc.gov/history/judges/bruce-john,history/judges/bruce-john,['1832'],"['February 27, 1875', 'February 27, 1875', 'February 27, 1875']",['U.S. District Court for the Southern District of Alabama'],['1901'],"['Franklin College, New Athens, Ohio, A.B., 1854Read law, 1856']","['Ulysses Grant', 'Ulysses Grant', 'Ulysses Grant']","['reassignment.Judge, U.S. District Court for the Middle District of AlabamaNominated by Ulysses Grant on February 23, 1875, to a seat vacated by Richard Busteed. Confirmed by the Senate on February 27, 1875, and received commission on February 27, 1875. Service terminated on October 1, 1901, due to death.Judge, U.S. District Court for the Northern District of AlabamaNominated by Ulysses Grant on February 23, 1875, to a seat vacated by Richard Busteed. Confirmed by the Senate on February 27, 1875, and received commission on February 27, 1875. Service terminated on October 1, 1901, due to death']"
"Toulmin, Harry Theophilus",https://www.fjc.gov/history/judges/toulmin-harry-theophilus,history/judges/toulmin-harry-theophilus,['1838'],"['January 13, 1887']",['U.S. District Court for the Southern District of Alabama'],['1916'],"['Read law, 1860']",['Grover Cleveland'],['death']
"Jones, Thomas Goode",https://www.fjc.gov/history/judges/jones-thomas-goode,history/judges/jones-thomas-goode,['1844'],"['December 17, 1901', 'December 17, 1901']",[],['1914'],"['Virginia Military InstituteRead law, 1868']",[],"['death.Judge, U.S. District Court for the Northern District of AlabamaReceived a recess appointment from Theodore Roosevelt on October 7, 1901, to a seat vacated by John Bruce; nominated to the same position by Theodore Roosevelt on December 5, 1901. Confirmed by the Senate on December 17, 1901, and received commission on December 17, 1901. Service terminated on April 28, 1914, due to death']"
"Hundley, Oscar Richard",https://www.fjc.gov/history/judges/hundley-oscar-richard,history/judges/hundley-oscar-richard,['1855'],[],[],['1921'],"['Vanderbilt University Law School, LL.B., 1877']",[],['resignation']
"Grubb, William Irwin",https://www.fjc.gov/history/judges/grubb-william-irwin,history/judges/grubb-william-irwin,['1862'],"['May 18, 1909']",['U.S. District Court for the Northern District of Alabama'],[],"['Yale College, A.B., 1883']",['William H. Taft'],['death']
"Clayton, Henry De Lamar",https://www.fjc.gov/history/judges/clayton-henry-de-lamar,history/judges/clayton-henry-de-lamar,['1857'],"['May 2, 1914', 'May 2, 1914']",['U.S. District Court for the Middle District of Alabama'],[],"['University of Alabama, A.B., 1877University of Alabama School of Law, LL.B., 1878']","['Woodrow Wilson', 'Woodrow Wilson']","['death.Judge, U.S. District Court for the Northern District of AlabamaNominated by Woodrow Wilson on May 2, 1914, to a seat vacated by Thomas Goode Jones. Confirmed by the Senate on May 2, 1914, and received commission on May 2, 1914. Service terminated on December 21, 1929, due to death']"
"Ervin, Robert Tait",https://www.fjc.gov/history/judges/ervin-robert-tait,history/judges/ervin-robert-tait,['1863'],"['January 23, 1917']",['U.S. District Court for the Southern District of Alabama'],[],"['University of Alabama School of Law, LL.B., 1887']",['Woodrow Wilson'],"['death.Other Federal Judicial Service:Referee in Bankruptcy, Southern District of Alabama, 1898-191']"
"Kennamer, Charles Brents",https://www.fjc.gov/history/judges/kennamer-charles-brents,history/judges/kennamer-charles-brents,['1874'],"['February 20, 1931', 'February 20, 1931']",['U.S. District Court for the Northern District of Alabama'],[],"['Georgetown College (now Georgetown University)Read law, 1903']","['Herbert Hoover', 'Herbert Hoover']","['reassignment.Judge, U.S. District Court for the Middle District of AlabamaNominated by Herbert Hoover on January 24, 1931, to a seat vacated by Henry D. Clayton. Confirmed by the Senate on February 20, 1931, and received commission on February 25, 1931. Service terminated on June 3, 1955, due to death']"
"McDuffie, John",https://www.fjc.gov/history/judges/mcduffie-john,history/judges/mcduffie-john,['1883'],"['February 7, 1935']",['U.S. District Court for the Southern District of Alabama'],['1950'],"['Alabama Polytechnic Institute (now Auburn University), B.Sc., 1904University of Alabama School of Law, LL.B., 1908']",['Franklin D. Roosevelt'],['death']
"Davis, David Jackson",https://www.fjc.gov/history/judges/davis-david-jackson,history/judges/davis-david-jackson,['1878'],"['January 22, 1936']",[],[],"['Yale Law School, LL.B., 1906']",[],['death']
"Murphree, Thomas Alexander",https://www.fjc.gov/history/judges/murphree-thomas-alexander,history/judges/murphree-thomas-alexander,['1883'],"['May 17, 1938']",['U.S. District Court for the Northern District of Alabama'],[],"['University of Alabama, B.S., 1910University of Alabama School of Law, LL.B., 1911']",['Franklin D. Roosevelt'],['death']
"Mullins, Clarence H.",https://www.fjc.gov/history/judges/mullins-clarence-h,history/judges/mullins-clarence-h,['1895'],"['April 7, 1943']",['U.S. District Court for the Northern District of Alabama'],['1957'],"['University of Alabama School of Law, LL.B., 1914']",['Franklin D. Roosevelt'],"['certified disability on May 31, 1953. Service terminated on June 30, 1957, due to death']"
"Lynne, Seybourn Harris",https://www.fjc.gov/history/judges/lynne-seybourn-harris,history/judges/lynne-seybourn-harris,['1907'],"['December 20, 1945']",['U.S. District Court for the Northern District of Alabama'],['2000'],"['Alabama Polytechnic Institute (now Auburn University), B.S., 1927University of Alabama School of Law, LL.B., 1930']",['Harry S Truman'],['death']
"Thomas, Daniel Holcombe",https://www.fjc.gov/history/judges/thomas-daniel-holcombe,history/judges/thomas-daniel-holcombe,['1906'],"['March 6, 1951']",['U.S. District Court for the Southern District of Alabama'],['2000'],"['University of Alabama School of Law, LL.B., 1928']",['Harry S Truman'],['death']
"Grooms, Harlan Hobart",https://www.fjc.gov/history/judges/grooms-harlan-hobart,history/judges/grooms-harlan-hobart,['1900'],"['July 31, 1953']",['U.S. District Court for the Northern District of Alabama'],[],"['University of Kentucky College of Law, LL.B., 1926']",['Dwight D. Eisenhower'],['death']
"Johnson, Frank Minis, Jr.",https://www.fjc.gov/history/judges/johnson-frank-minis-jr,history/judges/johnson-frank-minis-jr,['1918'],"['January 31, 1956', 'June 19, 1979']","['U.S. District Court for the Middle District of AlabamaReceived a recess appointment from Dwight D. Eisenhower on October 22, 1955, to a seat vacated by Charles B. Kennamer; nominated to the same position by Dwight D. Eisenhower on January 12, 1956. Confirmed by the Senate on January 31, 1956, and received commission on February 1, 1956. Served as chief judge, 1966-1979. Service terminated on July 12, 1979, due to appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth Circuit']",['1999'],"['University of Alabama School of Law, LL.B., 1943']",['Jimmy Carter'],"['appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth CircuitNominated by Jimmy Carter on April 2, 1979, to a new seat authorized by 92 Stat. 1629. Confirmed by the Senate on June 19, 1979, and received commission on June 21, 1979. Service terminated on October 1, 1981, due to reassignment.Judge, U.S. Court of Appeals for the Eleventh CircuitReassigned on October 1, 1981, to a new seat authorized by 94 Stat. 1994. Assumed senior status on October 30, 1991. Service terminated on July 23, 1999, due to death.Other Federal Judicial Service:Judge, Temporary Emergency Court of Appeals, 1972-198']"
"Allgood, Clarence W.",https://www.fjc.gov/history/judges/allgood-clarence-w,history/judges/allgood-clarence-w,['1902'],"['February 5, 1962']","['U.S. District Court for the Northern District of AlabamaReceived a recess appointment from John F. Kennedy on October 5, 1961, to a new seat authorized by 75 Stat. 80; nominated to the same position by John F. Kennedy on January 15, 1962. Confirmed by the Senate on February 5, 1962, and received commission on February 9, 1962. Assumed senior status on January 9, 1973. Service terminated on November 30, 1991, due to death.Other Federal Judicial Service:Referee in Bankruptcy, Northern District of Alabama, 1937-1961Education: Alabama Polytechnic Institute (now Auburn University), B.S., 1926Birmingham School of Law, LL.B., 1941Other Nominations/Recess Appointments:']",['1991'],[],[],"['death.Other Federal Judicial Service:Referee in Bankruptcy, Northern District of Alabama, 1937-196']"
